id,zip,location,city,population,people_per_sqmi,rank
82,11416,"40.684614, -73.849509","Ozone Park,ÊNew York",23668,34977.35,#96
83,11377,"40.744813, -73.905122","Woodside,ÊNew York",88339,34536.25,#97
84,10454,"40.805528, -73.916632","Bronx,ÊNew York",34976,33618.5,#101
85,10466,"40.891039, -73.847226","Bronx,ÊNew York",68787,33497.36,#102
86,10467,"40.877420, -73.872597","Bronx,ÊNew York",94342,33219.75,#103
87,11201,"40.693682, -73.989693","Brooklyn,ÊNew York",47746,33114.98,#104
88,10460,"40.842724, -73.879745","Bronx,ÊNew York",53707,33064.79,#105
89,11369,"40.763513, -73.871961","East Elmhurst,ÊNew York",36110,32616.57,#106
90,11207,"40.670361, -73.893848","Brooklyn,ÊNew York",86551,31820.27,#110
91,11209,"40.622352, -74.030431","Brooklyn,ÊNew York",69840,31098.42,#113
92,11421,"40.693633, -73.858513","Woodhaven,ÊNew York",37664,30881.52,#114
93,11235,"40.583552, -73.947900","Brooklyn,ÊNew York",77451,30866.46,#115
94,11370,"40.765370, -73.893132","East Elmhurst,ÊNew York",43142,30152.15,#118
95,11215,"40.662688, -73.986740","Brooklyn,ÊNew York",63001,27309.38,#127
96,11236,"40.639761, -73.900640","Brooklyn,ÊNew York",96301,27271.95,#128
97,11228,"40.616863, -74.013196","Brooklyn,ÊNew York",41172,27177.25,#129
98,10475,"40.875266, -73.826037","Bronx,ÊNew York",38086,27132.6,#130
99,11205,"40.696771, -73.967061","Brooklyn,ÊNew York",35622,26893.82,#131
100,11375,"40.722975, -73.843179","Forest Hills,ÊNew York",70204,26784.05,#132
101,11385,"40.700671, -73.889433","Ridgewood,ÊNew York",97524,26384.56,#134
102,10473,"40.817685, -73.858576","Bronx,ÊNew York",56166,26210.61,#136
103,10001,"40.750722, -73.997276","New York,ÊNew York",17310,26111.88,#137
104,11432,"40.715220, -73.793188","Jamaica,ÊNew York",57045,26065.18,#138
105,11417,"40.676342, -73.844595","Ozone Park,ÊNew York",28607,25964.14,#139
106,11105,"40.778997, -73.906847","Astoria,ÊNew York",42117,25956.3,#140
107,11428,"40.721050, -73.742212","Queens Village,ÊNew York",21023,25192.34,#144
108,11208,"40.669598, -73.871270","Brooklyn,ÊNew York",87165,24992.88,#146
109,11354,"40.768208, -73.827403","Flushing,ÊNew York",54329,24948.16,#147
110,10469,"40.867849, -73.845140","Bronx,ÊNew York",63345,24026.94,#150
111,10035,"40.795487, -73.929501","New York,ÊNew York",32702,23818.08,#154
112,11231,"40.677916, -74.005154","Brooklyn,ÊNew York",32974,22776.82,#162
113,11418,"40.700101, -73.835908","Richmond Hill,ÊNew York",36571,22694.55,#164
114,10282,"40.717017, -74.015566","New York,ÊNew York",1574,22144.94,#169
115,10461,"40.847409, -73.841403","Bronx,ÊNew York",49808,21734.34,#178
116,11222,"40.728367, -73.945427","Brooklyn,ÊNew York",39360,21724.29,#179
