id,zip,location,city,population,people_per_sqmi,rank
331,10532,"41.100192, -73.798695","Hawthorne,ÊNew York",5582,3197.88,"#3,023"
332,10502,"41.014059, -73.839744","Ardsley,ÊNew York",4935,3153.93,"#3,052"
333,11793,"40.650294, -73.514561","Wantagh,ÊNew York",32753,3150.7,"#3,056"
334,10954,"41.099029, -74.012296","Nanuet,ÊNew York",23189,3123.73,"#3,075"
335,10583,"40.988682, -73.789204","Scarsdale,ÊNew York",39091,3121.83,"#3,078"
336,11557,"40.635065, -73.691343","Hewlett,ÊNew York",7966,3112.17,"#3,091"
337,11776,"40.913812, -73.046148","Port Jefferson Station,ÊNew York",22440,3087.49,"#3,109"
338,11772,"40.771471, -72.995182","Patchogue,ÊNew York",41913,3071.46,"#3,131"
339,14606,"43.170996, -77.697914","Rochester,ÊNew York",29187,2981.03,"#3,222"
340,11725,"40.840996, -73.280948","Commack,ÊNew York",29412,2979.12,"#3,224"
341,14150,"42.997524, -78.878511","Tonawanda,ÊNew York",44535,2944.39,"#3,271"
342,12183,"42.746893, -73.693861","Troy,ÊNew York",2278,2944.2,"#3,272"
343,11735,"40.734243, -73.428600","Farmingdale,ÊNew York",32159,2925.28,"#3,291"
344,12203,"42.678763, -73.845869","Albany,ÊNew York",32866,2913.19,"#3,305"
345,11796,"40.729245, -73.099841","West Sayville,ÊNew York",3835,2902.73,"#3,312"
346,11050,"40.839895, -73.693128","Port Washington,ÊNew York",28545,2880.49,"#3,336"
347,11753,"40.788668, -73.541676","Jericho,ÊNew York",11648,2878.28,"#3,342"
348,14225,"42.928824, -78.752459","Buffalo,ÊNew York",35893,2848.6,"#3,379"
349,11779,"40.812431, -73.116108","Ronkonkoma,ÊNew York",39321,2844.32,"#3,384"
350,14617,"43.224205, -77.594485","Rochester,ÊNew York",22967,2821.19,"#3,417"
351,11804,"40.766708, -73.451812","Old Bethpage,ÊNew York",5014,2794.57,"#3,439"
352,10965,"41.061482, -74.015910","Pearl River,ÊNew York",14522,2791.69,"#3,441"
353,11790,"40.903592, -73.131054","Stony Brook,ÊNew York",18374,2775.54,"#3,464"
354,12304,"42.771569, -73.895695","Schenectady,ÊNew York",20969,2772.23,"#3,468"
355,13088,"43.108742, -76.186383","Liverpool,ÊNew York",22139,2742.59,"#3,498"
356,14227,"42.886935, -78.730383","Buffalo,ÊNew York",24573,2740.38,"#3,500"
357,11732,"40.852904, -73.537599","East Norwich,ÊNew York",3804,2737.67,"#3,502"
358,11754,"40.886865, -73.245725","Kings Park,ÊNew York",18847,2728.64,"#3,511"
359,11715,"40.749738, -73.034888","Blue Point,ÊNew York",4407,2723.33,"#3,518"
360,11752,"40.755849, -73.173780","Islip Terrace,ÊNew York",9881,2711.74,"#3,531"
361,13224,"43.031797, -76.100655","Syracuse,ÊNew York",9052,2711.69,"#3,532"
362,10983,"41.031088, -73.947703","Tappan,ÊNew York",5756,2702.92,"#3,543"
363,11746,"40.814268, -73.362276","Huntington Station,ÊNew York",62828,2697.38,"#3,553"
364,11727,"40.880224, -73.002112","Coram,ÊNew York",25603,2696.83,"#3,555"
365,14615,"43.204250, -77.657326","Rochester,ÊNew York",16158,2674.93,"#3,581"
366,11951,"40.767062, -72.838578","Mastic Beach,ÊNew York",12794,2627.54,"#3,634"
367,14904,"42.069428, -76.805553","Elmira,ÊNew York",16862,2619.31,"#3,640"
368,10607,"41.039089, -73.811368","White Plains,ÊNew York",7493,2612.91,"#3,646"
369,11030,"40.793409, -73.688549","Manhasset,ÊNew York",17148,2610.13,"#3,647"
370,14068,"43.026309, -78.758472","Getzville,ÊNew York",10027,2593.06,"#3,662"
371,13214,"43.040542, -76.076911","Syracuse,ÊNew York",8764,2578.47,"#3,677"
372,11721,"40.892021, -73.370810","Centerport,ÊNew York",6218,2567.78,"#3,691"
373,13116,"43.074754, -76.007939","Minoa,ÊNew York",3351,2557.51,"#3,699"
374,11576,"40.803242, -73.637480","Roslyn,ÊNew York",11810,2536.16,"#3,728"
375,14218,"42.817887, -78.824667","Buffalo,ÊNew York",20203,2531.91,"#3,732"
376,11740,"40.865796, -73.363314","Greenlawn,ÊNew York",9647,2516.23,"#3,750"
377,10706,"40.990222, -73.865543","Hastings On Hudson,ÊNew York",9187,2511.34,"#3,760"
378,14305,"43.122642, -79.023024","Niagara Falls,ÊNew York",20319,2502.48,"#3,769"
379,14622,"43.215549, -77.556449","Rochester,ÊNew York",12027,2441.99,"#3,842"
380,10562,"41.192300, -73.833984","Ossining,ÊNew York",31035,2437.7,"#3,848"
381,11742,"40.809944, -73.040545","Holtsville,ÊNew York",12119,2419.7,"#3,868"
382,13417,"43.101278, -75.293446","New York Mills,ÊNew York",3180,2393.51,"#3,904"
383,12189,"42.733036, -73.718976","Watervliet,ÊNew York",16783,2363.06,"#3,954"
384,14303,"43.084094, -79.031636","Niagara Falls,ÊNew York",7128,2335.86,"#3,979"
385,10591,"41.090097, -73.841014","Tarrytown,ÊNew York",21590,2321.65,"#4,005"
386,12207,"42.658332, -73.746412","Albany,ÊNew York",2187,2297.57,"#4,033"
387,11787,"40.852924, -73.211260","Smithtown,ÊNew York",34794,2258.42,"#4,080"
388,14905,"42.087725, -76.843282","Elmira,ÊNew York",9407,2256.76,"#4,082"
389,11705,"40.743277, -73.055841","Bayport,ÊNew York",8007,2248.98,"#4,092"
390,14221,"42.984522, -78.722871","Buffalo,ÊNew York",51448,2247.52,"#4,094"
391,11024,"40.816373, -73.743736","Great Neck,ÊNew York",7564,2245.55,"#4,096"
392,14618,"43.112890, -77.557574","Rochester,ÊNew York",22387,2222.58,"#4,126"
393,11769,"40.736277, -73.129837","Oakdale,ÊNew York",9729,2202.53,"#4,149"
394,12601,"41.708174, -73.910203","Poughkeepsie,ÊNew York",43130,2179.49,"#4,190"
395,10996,"41.393700, -73.972175","West Point,ÊNew York",7126,2178.17,"#4,191"
396,10004,"40.691870, -74.014109","New York,ÊNew York",1225,2162.99,"#4,213"
397,11020,"40.770007, -73.712974","Great Neck,ÊNew York",4043,2153.65,"#4,227"
398,11791,"40.829724, -73.498525","Syosset,ÊNew York",24445,2151.5,"#4,231"
399,11777,"40.949875, -73.061723","Port Jefferson,ÊNew York",9025,2080.21,"#4,339"
400,13212,"43.127007, -76.129705","Syracuse,ÊNew York",20878,2047.08,"#4,387"
401,12047,"42.782255, -73.727721","Cohoes,ÊNew York",18167,2043.44,"#4,394"
402,10604,"41.052798, -73.736957","West Harrison,ÊNew York",10430,2034.57,"#4,405"
403,10956,"41.156331, -73.994110","New City,ÊNew York",31071,2031.75,"#4,408"
404,13090,"43.152537, -76.217092","Liverpool,ÊNew York",30934,2030.38,"#4,409"
405,11697,"40.555681, -73.920688","Breezy Point,ÊNew York",4226,2029.93,"#4,410"
406,14626,"43.216516, -77.710843","Rochester,ÊNew York",29120,2028.67,"#4,412"
407,14224,"42.837826, -78.747935","Buffalo,ÊNew York",40509,2014.2,"#4,428"
408,10523,"41.061817, -73.819281","Elmsford,ÊNew York",7489,2000.66,"#4,447"
409,11559,"40.605480, -73.716208","Lawrence,ÊNew York",8103,1999.99,"#4,448"
410,10580,"40.978942, -73.693320","Rye,ÊNew York",16737,1975.15,"#4,478"
411,10594,"41.110366, -73.767887","Thornwood,ÊNew York",5460,1939.75,"#4,540"
412,14219,"42.789589, -78.825966","Buffalo,ÊNew York",13050,1929.24,"#4,555"
413,10533,"41.039478, -73.850709","Irvington,ÊNew York",7464,1897.03,"#4,603"
414,14612,"43.266330, -77.676706","Rochester,ÊNew York",35665,1890.45,"#4,618"
415,10989,"41.122955, -73.938031","Valley Cottage,ÊNew York",9381,1885.12,"#4,623"
416,12205,"42.714984, -73.824289","Albany,ÊNew York",26337,1835.88,"#4,702"
417,11730,"40.720680, -73.172384","East Islip,ÊNew York",16050,1833.81,"#4,706"
418,11967,"40.805671, -72.879071","Shirley,ÊNew York",24943,1832.55,"#4,710"
419,11788,"40.817677, -73.210123","Hauppauge,ÊNew York",16836,1803.33,"#4,761"
420,11797,"40.820348, -73.472077","Woodbury,ÊNew York",9005,1782.14,"#4,789"
421,10570,"41.127957, -73.790628","Pleasantville,ÊNew York",12366,1781.36,"#4,791"
422,11763,"40.823551, -72.980284","Medford,ÊNew York",24743,1759.91,"#4,818"
423,10984,"41.202903, -74.022265","Thiells,ÊNew York",2298,1736.36,"#4,860"
424,12130,"42.442570, -73.658564","Niverville,ÊNew York",899,1733.37,"#4,863"
425,11713,"40.773594, -72.945434","Bellport,ÊNew York",9160,1732.65,"#4,865"
426,12303,"42.753534, -73.926481","Schenectady,ÊNew York",27942,1728.34,"#4,877"
427,10976,"41.021423, -73.922172","Sparkill,ÊNew York",1795,1678.55,"#4,950"
428,12466,"41.905034, -73.985610","Port Ewen,ÊNew York",3101,1674.28,"#4,960"
429,14514,"43.122159, -77.810679","North Chili,ÊNew York",4722,1673.19,"#4,964"
430,12543,"41.485123, -74.220417","Maybrook,ÊNew York",3133,1668.31,"#4,972"
431,11733,"40.934181, -73.105889","East Setauket,ÊNew York",20382,1651.09,"#4,991"
432,12204,"42.691525, -73.733797","Albany,ÊNew York",6792,1646.06,"#5,001"
433,12309,"42.790136, -73.862338","Schenectady,ÊNew York",30057,1611.39,"#5,063"
434,10048,"40.711665, -74.012417","New York,ÊNew York",55,1601.72,"#5,079"
435,12211,"42.705608, -73.766085","Albany,ÊNew York",10684,1588.4,"#5,097"
436,10511,"41.261063, -73.948349","Buchanan,ÊNew York",2189,1576.31,"#5,115"
437,11743,"40.878517, -73.426767","Huntington,ÊNew York",41566,1559.41,"#5,142"
438,11766,"40.935097, -73.015864","Mount Sinai,ÊNew York",9365,1558.49,"#5,145"
439,11547,"40.830929, -73.643958","Glenwood Landing,ÊNew York",666,1555.33,"#5,150"
440,13495,"43.114019, -75.271854","Yorkville,ÊNew York",2271,1535.45,"#5,191"
441,12550,"41.539574, -74.057223","Newburgh,ÊNew York",52084,1526.83,"#5,205"
442,10920,"41.153040, -73.938131","Congers,ÊNew York",8937,1501.97,"#5,253"
443,11782,"40.753968, -73.099453","Sayville,ÊNew York",15897,1453.01,"#5,328"
444,11934,"40.798359, -72.794297","Center Moriches,ÊNew York",6539,1449.89,"#5,335"
445,13603,"44.035347, -75.804288","Watertown,ÊNew York",7498,1448.79,"#5,337"
446,11778,"40.939095, -72.928456","Rocky Point,ÊNew York",11514,1447.04,"#5,339"
447,11768,"40.910132, -73.324377","Northport,ÊNew York",21676,1444.73,"#5,344"
448,12110,"42.750910, -73.775205","Latham,ÊNew York",20463,1437.1,"#5,354"
449,14623,"43.087333, -77.641867","Rochester,ÊNew York",27387,1420.83,"#5,385"
450,10548,"41.247875, -73.941802","Montrose,ÊNew York",4076,1403,"#5,423"
451,14625,"43.150039, -77.505521","Rochester,ÊNew York",10792,1394.14,"#5,437"
452,10464,"40.867099, -73.797609","Bronx,ÊNew York",4634,1389.08,"#5,451"
453,10165,"40.752131, -73.978722","New York,ÊNew York",7,1388.41,"#5,455"
454,10547,"41.308707, -73.855615","Mohegan Lake,ÊNew York",8544,1381.14,"#5,472"
455,11702,"40.618005, -73.407877","Babylon,ÊNew York",14975,1376.33,"#5,484"
456,14304,"43.100698, -78.948314","Niagara Falls,ÊNew York",30960,1374.18,"#5,488"
457,10595,"41.087709, -73.785778","Valhalla,ÊNew York",7482,1373.58,"#5,491"
458,13211,"43.104491, -76.116553","Syracuse,ÊNew York",6425,1326.58,"#5,578"
459,14120,"43.079317, -78.842654","North Tonawanda,ÊNew York",43144,1324.9,"#5,585"
460,14624,"43.128271, -77.731354","Rochester,ÊNew York",38231,1314.47,"#5,604"
461,11780,"40.890431, -73.171453","Saint James,ÊNew York",14920,1299.6,"#5,644"
462,12508,"41.495996, -73.953632","Beacon,ÊNew York",19487,1274.97,"#5,708"
463,10925,"41.222743, -74.292681","Greenwood Lake,ÊNew York",4986,1274.28,"#5,710"
464,14450,"43.088447, -77.415761","Fairport,ÊNew York",40748,1262.97,"#5,726"
465,10994,"41.098072, -73.972649","West Nyack,ÊNew York",6493,1261.8,"#5,728"
466,11747,"40.788528, -73.407298","Melville,ÊNew York",16152,1245.36,"#5,771"
467,11953,"40.893285, -72.951799","Middle Island,ÊNew York",12364,1243.55,"#5,775"
468,14051,"43.039886, -78.704186","East Amherst,ÊNew York",17991,1212.22,"#5,852"
469,10913,"41.068258, -73.954975","Blauvelt,ÊNew York",5076,1207.75,"#5,858"
470,12603,"41.675868, -73.864484","Poughkeepsie,ÊNew York",41667,1204.08,"#5,869"
471,11716,"40.776697, -73.134857","Bohemia,ÊNew York",10360,1199.21,"#5,881"
472,12182,"42.801006, -73.637646","Troy,ÊNew York",14104,1147.45,"#5,981"
473,12803,"43.285467, -73.636150","South Glens Falls,ÊNew York",7394,1145.43,"#5,984"
474,11764,"40.934197, -72.975160","Miller Place,ÊNew York",11120,1139.01,"#5,996"
475,12084,"42.704563, -73.899429","Guilderland,ÊNew York",4214,1136.55,"#6,001"
476,14228,"43.044371, -78.777335","Buffalo,ÊNew York",19713,1129.05,"#6,020"
477,12045,"42.478837, -73.797553","Coeymans,ÊNew York",746,1125.11,"#6,025"
478,10598,"41.286807, -73.798823","Yorktown Heights,ÊNew York",29368,1121.59,"#6,032"
479,14526,"43.151464, -77.444396","Penfield,ÊNew York",19789,1120.06,"#6,033"
480,11786,"40.944455, -72.886049","Shoreham,ÊNew York",5883,1118.01,"#6,038"
481,12065,"42.854836, -73.787492","Clifton Park,ÊNew York",38866,1109.2,"#6,053"
482,13905,"42.173847, -75.936413","Binghamton,ÊNew York",27506,1099.4,"#6,074"
483,13615,"44.007217, -75.979240","Brownville,ÊNew York",1027,1099.36,"#6,075"
484,12144,"42.627836, -73.717842","Rensselaer,ÊNew York",18367,1062.86,"#6,174"
485,14075,"42.713252, -78.833315","Hamburg,ÊNew York",42082,1039.63,"#6,229"
486,10950,"41.317294, -74.197530","Monroe,ÊNew York",38791,1005.04,"#6,320"
487,10588,"41.316837, -73.829264","Shrub Oak,ÊNew York",2006,1003.06,"#6,323"
488,14580,"43.217283, -77.444534","Webster,ÊNew York",43824,996.63,"#6,339"
489,10541,"41.377000, -73.753830","Mahopac,ÊNew York",26693,996.17,"#6,341"
490,14504,"42.967777, -77.233608","Manchester,ÊNew York",1312,990.22,"#6,356"
491,11955,"40.809125, -72.816096","Moriches,ÊNew York",2652,985.91,"#6,372"
492,14534,"43.056890, -77.521042","Pittsford,ÊNew York",30270,979.31,"#6,390"
493,13209,"43.087539, -76.255166","Syracuse,ÊNew York",13774,974.3,"#6,408"
494,10537,"41.355369, -73.879979","Lake Peekskill,ÊNew York",2032,971.35,"#6,417"
495,11724,"40.856500, -73.452894","Cold Spring Harbor,ÊNew York",3040,967.48,"#6,425"
496,14467,"43.043504, -77.618013","Henrietta,ÊNew York",8738,964.8,"#6,435"
497,12590,"41.592556, -73.886853","Wappingers Falls,ÊNew York",33523,959.35,"#6,450"
498,13039,"43.161395, -76.075729","Cicero,ÊNew York",14562,958.02,"#6,454"
499,12471,"41.848432, -74.036220","Rifton,ÊNew York",174,953.9,"#6,464"
500,10589,"41.328630, -73.697168","Somers,ÊNew York",7363,943.27,"#6,493"
501,12054,"42.608547, -73.864416","Delmar,ÊNew York",16421,942.13,"#6,500"
502,10514,"41.172330, -73.768948","Chappaqua,ÊNew York",12004,934.13,"#6,516"
503,10510,"41.138997, -73.834891","Briarcliff Manor,ÊNew York",9963,933.06,"#6,519"
504,13760,"42.133387, -76.084713","Endicott,ÊNew York",43954,923.88,"#6,538"
505,11970,"40.940660, -72.573108","South Jamesport,ÊNew York",319,921.8,"#6,544"
506,11042,"40.758295, -73.697102","New Hyde Park,ÊNew York",513,921.42,"#6,546"
507,13461,"43.077098, -75.587609","Sherrill,ÊNew York",3179,917.67,"#6,562"
508,10520,"41.217976, -73.874882","Croton On Hudson,ÊNew York",12590,912.65,"#6,569"
509,14085,"42.716594, -78.930821","Lake View,ÊNew York",5565,908.42,"#6,583"
510,11771,"40.865967, -73.525877","Oyster Bay,ÊNew York",9550,905.99,"#6,587"
511,12180,"42.748588, -73.599536","Troy,ÊNew York",52907,902.72,"#6,593"
512,14134,"42.534609, -78.521861","Sardinia,ÊNew York",16,899.78,"#6,605"
513,10535,"41.335169, -73.793919","Jefferson Valley,ÊNew York",416,886.28,"#6,634"
514,12411,"41.878105, -74.038886","Bloomington,ÊNew York",382,877.54,"#6,656"
515,12449,"41.997728, -73.992872","Lake Katrine,ÊNew York",3557,874.54,"#6,668"
516,11560,"40.880757, -73.588724","Locust Valley,ÊNew York",6815,870.76,"#6,676"
517,11946,"40.881714, -72.536582","Hampton Bays,ÊNew York",12802,868.65,"#6,682"
518,11944,"41.106515, -72.369487","Greenport,ÊNew York",3705,865.29,"#6,694"
519,10507,"41.232590, -73.692641","Bedford Hills,ÊNew York",7646,864.23,"#6,697"
520,10962,"41.050504, -73.960154","Orangeburg,ÊNew York",5580,855.66,"#6,713"
521,11972,"40.818205, -72.701844","Speonk,ÊNew York",692,855.13,"#6,714"
522,11545,"40.824966, -73.581551","Glen Head,ÊNew York",12073,851.05,"#6,720"
523,13492,"43.114604, -75.337680","Whitesboro,ÊNew York",11555,847.9,"#6,727"
524,12553,"41.460880, -74.072198","New Windsor,ÊNew York",22514,845.45,"#6,736"
525,13901,"42.185729, -75.879685","Binghamton,ÊNew York",20106,844.85,"#6,741"
526,13413,"43.061560, -75.276199","New Hartford,ÊNew York",15871,842.71,"#6,745"
527,14026,"42.942011, -78.689442","Bowmansville,ÊNew York",722,842.21,"#6,750"
528,10549,"41.203948, -73.718025","Mount Kisco,ÊNew York",15327,841.96,"#6,751"
529,12524,"41.532263, -73.889150","Fishkill,ÊNew York",14045,838.69,"#6,764"
530,14086,"42.905511, -78.629121","Lancaster,ÊNew York",28516,822.99,"#6,816"
531,14441,"42.685829, -76.957555","Dresden,ÊNew York",344,807.3,"#6,862"
532,12456,"42.032997, -73.998278","Mount Marion,ÊNew York",653,797.12,"#6,897"
533,11792,"40.946438, -72.835507","Wading River,ÊNew York",7156,795.19,"#6,902"
534,10567,"41.289545, -73.897030","Cortlandt Manor,ÊNew York",17805,794.15,"#6,905"
535,13066,"43.032475, -76.000667","Fayetteville,ÊNew York",12299,791.38,"#6,918"
536,11940,"40.809637, -72.759740","East Moriches,ÊNew York",4347,783.63,"#6,963"
537,12188,"42.819962, -73.694056","Waterford,ÊNew York",10610,778.96,"#6,978"
538,10970,"41.197670, -74.074130","Pomona,ÊNew York",9222,769.23,"#7,005"
539,10901,"41.161496, -74.139021","Suffern,ÊNew York",21760,753.54,"#7,056"
540,10501,"41.288104, -73.759211","Amawalk,ÊNew York",843,749.35,"#7,073"
541,12150,"42.880521, -74.052686","Rotterdam Junction,ÊNew York",836,716.15,"#7,191"
542,12520,"41.428017, -73.996195","Cornwall On Hudson,ÊNew York",2918,708.65,"#7,228"
543,10992,"41.421990, -74.163800","Washingtonville,ÊNew York",9367,706.82,"#7,238"
544,13319,"43.025796, -75.278313","Chadwicks,ÊNew York",1018,706.15,"#7,242"
545,14127,"42.753763, -78.745385","Orchard Park,ÊNew York",27762,701.75,"#7,261"
546,13031,"43.041401, -76.307912","Camillus,ÊNew York",14977,692.38,"#7,290"
547,14048,"42.479105, -79.312833","Dunkirk,ÊNew York",16097,681.58,"#7,330"
548,13834,"42.543366, -74.958799","Portlandville,ÊNew York",170,673.95,"#7,358"
549,10940,"41.446544, -74.478741","Middletown,ÊNew York",42860,673.41,"#7,362"
550,12482,"42.271396, -73.960047","South Cairo,ÊNew York",452,662.82,"#7,404"
551,12518,"41.401437, -74.037497","Cornwall,ÊNew York",6276,662.07,"#7,406"
552,12565,"42.248157, -73.645187","Philmont,ÊNew York",1936,657.46,"#7,426"
553,11961,"40.893355, -72.877865","Ridge,ÊNew York",12664,653.83,"#7,445"
554,14072,"43.017901, -78.962657","Grand Island,ÊNew York",18621,651.42,"#7,455"
555,11960,"40.806462, -72.702460","Remsenburg,ÊNew York",822,643.58,"#7,481"
556,13502,"43.141264, -75.154707","Utica,ÊNew York",33505,638.43,"#7,511"
557,13790,"42.165361, -76.001942","Johnson City,ÊNew York",19713,620.49,"#7,578"
558,13057,"43.087662, -76.035448","East Syracuse,ÊNew York",14845,611.01,"#7,625"
559,12302,"42.878182, -73.982505","Schenectady,ÊNew York",27001,607.76,"#7,636"
560,12077,"42.588163, -73.777695","Glenmont,ÊNew York",5719,598.61,"#7,678"
561,14586,"43.041661, -77.689956","West Henrietta,ÊNew York",6197,577.94,"#7,760"
562,13062,"42.486498, -76.380690","Etna,ÊNew York",131,576.98,"#7,765"
563,12159,"42.651428, -73.885894","Slingerlands,ÊNew York",7646,569.9,"#7,797"
564,14047,"42.687361, -78.986623","Derby,ÊNew York",6833,564.44,"#7,818"
565,12401,"41.938565, -74.056809","Kingston,ÊNew York",35722,557.66,"#7,859"
566,14092,"43.174537, -78.992002","Lewiston,ÊNew York",11121,553.03,"#7,889"
567,10964,"41.017211, -73.913870","Palisades,ÊNew York",1282,544.89,"#7,930"
568,12306,"42.805431, -74.044234","Schenectady,ÊNew York",24581,541.45,"#7,947"
569,12866,"43.092690, -73.735445","Saratoga Springs,ÊNew York",34570,532.87,"#7,993"
570,13664,"44.584961, -75.648193","Morristown,ÊNew York",340,530.4,"#8,003"
571,11719,"40.780748, -72.909617","Brookhaven,ÊNew York",2965,523.77,"#8,041"
572,11947,"40.947855, -72.575934","Jamesport,ÊNew York",218,520.36,"#8,056"
573,14901,"42.087649, -76.746938","Elmira,ÊNew York",17845,519.95,"#8,059"
574,11941,"40.828756, -72.718536","Eastport,ÊNew York",2275,518.52,"#8,068"
575,11942,"40.850055, -72.587962","East Quogue,ÊNew York",3981,515.64,"#8,080"
576,10546,"41.203621, -73.796171","Millwood,ÊNew York",1224,515.55,"#8,081"
577,12486,"41.834702, -74.062603","Tillson,ÊNew York",1595,513.43,"#8,094"
578,12008,"42.848917, -73.912735","Alplaus,ÊNew York",431,512.72,"#8,099"
579,13850,"42.049395, -76.017594","Vestal,ÊNew York",26685,512.61,"#8,100"
580,10974,"41.154310, -74.200465","Sloatsburg,ÊNew York",3183,512.05,"#8,108"
581,12538,"41.792345, -73.893141","Hyde Park,ÊNew York",12653,511.18,"#8,113"
582,14721,"42.000558, -78.251649","Ceres,ÊNew York",102,505.7,"#8,140"
583,12198,"42.672453, -73.632704","Wynantskill,ÊNew York",7295,497.34,"#8,178"
584,11568,"40.786513, -73.598478","Old Westbury,ÊNew York",3992,494.55,"#8,197"
585,14031,"42.983128, -78.614262","Clarence,ÊNew York",8769,491.89,"#8,209"
586,10577,"41.041731, -73.709727","Purchase,ÊNew York",3454,491.15,"#8,215"
587,11971,"41.059912, -72.427282","Southold,ÊNew York",5575,487.56,"#8,239"
588,10930,"41.361676, -74.113297","Highland Mills,ÊNew York",7400,487.56,"#8,240"
589,13041,"43.192089, -76.192302","Clay,ÊNew York",9818,486.95,"#8,243"
590,14850,"42.431831, -76.500228","Ithaca,ÊNew York",63396,483.19,"#8,267"
591,13903,"42.041886, -75.889073","Binghamton,ÊNew York",19282,475.42,"#8,306"
592,10509,"41.422360, -73.580154","Brewster,ÊNew York",18913,470.16,"#8,339"
593,14701,"42.081025, -79.253512","Jamestown,ÊNew York",42904,468.46,"#8,351"
594,10526,"41.294835, -73.662114","Goldens Bridge,ÊNew York",1652,464.2,"#8,380"
595,10590,"41.255441, -73.539322","South Salem,ÊNew York",7212,462.92,"#8,388"
596,11952,"41.001012, -72.543737","Mattituck,ÊNew York",4680,460.63,"#8,408"
597,10928,"41.348970, -73.998495","Highland Falls,ÊNew York",5358,460.33,"#8,410"
598,10917,"41.322562, -74.120871","Central Valley,ÊNew York",1650,456.76,"#8,427"
599,12019,"42.945577, -73.834562","Ballston Lake,ÊNew York",13320,456.07,"#8,435"
600,12586,"41.565744, -74.179081","Walden,ÊNew York",11527,455.68,"#8,437"
601,14102,"42.835266, -78.563136","Marilla,ÊNew York",1111,454.44,"#8,442"
602,14480,"42.839522, -77.708389","Lakeville,ÊNew York",641,451.18,"#8,456"
603,12804,"43.340954, -73.685911","Queensbury,ÊNew York",24083,450.81,"#8,458"
604,11968,"40.905917, -72.415656","Southampton,ÊNew York",12032,436.53,"#8,556"
605,12533,"41.561643, -73.787605","Hopewell Junction,ÊNew York",22254,435.17,"#8,572"
606,13027,"43.173534, -76.365491","Baldwinsville,ÊNew York",29108,434.72,"#8,576"
607,12061,"42.594948, -73.659578","East Greenbush,ÊNew York",7872,433.02,"#8,590"
608,11901,"40.924693, -72.648656","Riverhead,ÊNew York",22897,431.22,"#8,604"
609,12472,"41.849570, -74.076786","Rosendale,ÊNew York",1654,430.29,"#8,609"
610,14425,"42.990428, -77.332531","Farmington,ÊNew York",9658,429.51,"#8,614"
611,10536,"41.296920, -73.729864","Katonah,ÊNew York",10612,428.51,"#8,618"
612,12513,"42.219307, -73.720481","Claverack,ÊNew York",1043,427.87,"#8,625"
613,12901,"44.704021, -73.471148","Plattsburgh,ÊNew York",32253,426.59,"#8,638"
614,12979,"44.987143, -73.375296","Rouses Point,ÊNew York",2450,426.2,"#8,644"
615,10504,"41.134968, -73.698635","Armonk,ÊNew York",7185,425.72,"#8,649"
616,10980,"41.258097, -74.030157","Stony Point,ÊNew York",12670,423.53,"#8,662"
617,10921,"41.328266, -74.372269","Florida,ÊNew York",3879,414.81,"#8,709"
618,11963,"40.989760, -72.315663","Sag Harbor,ÊNew York",6664,411.57,"#8,728"
619,12771,"41.375285, -74.631515","Port Jervis,ÊNew York",13847,408,"#8,753"
620,13215,"42.980793, -76.223386","Syracuse,ÊNew York",14461,406.9,"#8,758"
621,14094,"43.157693, -78.702073","Lockport,ÊNew York",51376,405.29,"#8,770"
622,10527,"41.321183, -73.769878","Granite Springs,ÊNew York",1097,405.03,"#8,773"
623,11977,"40.844797, -72.694993","Westhampton,ÊNew York",2143,404.86,"#8,775"
624,12027,"42.935415, -73.907816","Burnt Hills,ÊNew York",3659,404.45,"#8,777"
625,10512,"41.447747, -73.709884","Carmel,ÊNew York",23924,396.59,"#8,828"
626,11569,"40.608435, -73.590373","Point Lookout,ÊNew York",1559,396.57,"#8,829"
627,13341,"43.036698, -75.397188","Franklin Springs,ÊNew York",54,394.32,"#8,851"
628,14555,"43.257062, -76.991465","Sodus Point,ÊNew York",1287,393.57,"#8,854"
629,14006,"42.633073, -79.021726","Angola,ÊNew York",10884,393.03,"#8,859"
630,10941,"41.491652, -74.344240","Middletown,ÊNew York",13118,390.34,"#8,885"
631,14506,"43.002205, -77.505265","Mendon,ÊNew York",1289,390.22,"#8,886"
632,13904,"42.128281, -75.801040","Binghamton,ÊNew York",9619,387,"#8,910"
633,12563,"41.503887, -73.572979","Patterson,ÊNew York",7252,383.81,"#8,937"
634,13638,"44.019032, -75.759378","Felts Mills,ÊNew York",363,382.81,"#8,953"
635,14750,"42.076991, -79.327748","Lakewood,ÊNew York",4623,382.7,"#8,956"
636,14559,"43.189993, -77.819055","Spencerport,ÊNew York",15919,382.66,"#8,958"
637,13838,"42.285099, -75.388127","Sidney,ÊNew York",4956,380.5,"#8,975"
638,10931,"41.127584, -74.170333","Hillburn,ÊNew York",881,377.37,"#9,006"
639,12839,"43.354486, -73.553953","Hudson Falls,ÊNew York",11945,374.62,"#9,025"
640,13440,"43.217344, -75.459735","Rome,ÊNew York",44797,374.33,"#9,026"
641,12051,"42.344518, -73.828765","Coxsackie,ÊNew York",6905,373.22,"#9,035"
642,14083,"42.677412, -78.440118","Java Village,ÊNew York",43,372.22,"#9,039"
643,13616,"44.032051, -75.870748","Calcium,ÊNew York",2341,370.99,"#9,053"
644,11770,"40.644757, -73.160803","Ocean Beach,ÊNew York",190,367.09,"#9,080"
